Date,HPG,VCB
2015-01-05,6003.300633173426,16672.840932705625
2015-01-06,6059.935544807137,17770.426072476213
2015-01-07,6003.300633173426,17561.362236329434
2015-01-08,6003.300633173426,18084.021826696382
2015-01-09,6116.570456440849,19286.138884540364
2015-01-12,6116.570456440849,19442.936761650446
2015-01-13,6116.570456440849,19338.404843577056
2015-01-14,6116.570456440849,19547.468679723836
2015-01-15,6116.570456440849,19233.872925503667
2015-01-16,6003.300633173426,18972.543130320195
2015-01-19,5946.6657215397145,18502.14949898994
2015-01-20,6003.300633173426,18815.74525321011
2015-01-21,6059.935544807137,18502.14949898994
2015-01-22,6003.300633173426,18920.2771712835
2015-01-23,5833.395898272292,19390.670802613753
2015-01-26,5640.837198717672,19129.341007430277
2015-01-27,5720.126075004869,18972.543130320195
2015-01-28,5720.126075004869,19547.468679723836
2015-01-29,5595.529269410703,19286.138884540364
2015-01-30,5414.297552182826,18658.947376100026
2015-02-02,5380.316605202599,18658.947376100026
2015-02-03,5289.70074658866,17404.564359219352
2015-02-04,5119.796011687526,17300.032441145962
2015-02-05,5085.815064707299,18240.819703806468
2015-02-06,5210.411870301464,18815.74525321011
2015-02-09,5074.488082380556,18920.2771712835
2015-02-10,5244.392817281691,19024.809089356888
2015-02-11,5482.25944614328,19390.670802613753
2015-02-12,5527.567375450249,18972.543130320195
2015-02-13,5572.875304757218,19077.075048393584
2015-02-24,5584.20228708396,20383.72402431095
2015-02-25,5482.25944614328,19913.3303929807
2015-02-26,5425.624534509568,20592.78786045773
2015-02-27,5335.0086758956295,20070.128270090783
2015-03-02,5233.0658349549485,20070.128270090783
2015-03-03,5335.0086758956295,20122.39422912748
2015-03-04,5335.0086758956295,20279.192106237562
2015-03-05,5357.662640549114,19808.79847490731
2015-03-06,5346.335658222372,19495.202720687143
2015-03-09,5504.913410796764,19024.809089356888
2015-03-10,5436.9515168363105,19233.872925503667
2015-03-11,5380.316605202599,19077.075048393584
2015-03-12,5301.027728915403,19233.872925503667
2015-03-13,5267.046781935176,19181.606966466974
2015-03-16,5108.469029360784,18449.883539953247
2015-03-17,5097.142047034041,18658.947376100026
2015-03-18,5051.834117727071,18711.21333513672
2015-03-19,4983.872223766618,18554.415458026637
2015-03-20,5244.392817281691,18815.74525321011
2015-03-23,5097.142047034041,18397.61758091655
2015-03-24,5017.853170746845,18449.883539953247
2015-03-25,4983.872223766618,18502.14949898994
2015-03-26,4972.545241439875,18293.08566284316
2015-03-27,4972.545241439875,18449.883539953247
2015-03-30,4983.872223766618,18345.351621879858
2015-03-31,4995.19920609336,18345.351621879858
2015-04-01,4983.872223766618,18293.08566284316
2015-04-02,4995.19920609336,18658.947376100026
2015-04-03,5085.815064707299,18658.947376100026
2015-04-06,5029.1801530735875,18554.415458026637
2015-04-07,5029.1801530735875,18711.21333513672
2015-04-08,5006.526188420103,18554.415458026637
2015-04-09,5006.526188420103,18711.21333513672
2015-04-10,5006.526188420103,18815.74525321011
2015-04-13,5006.526188420103,19024.809089356888
2015-04-14,5017.853170746845,19024.809089356888
2015-04-15,5097.142047034041,19129.341007430277
2015-04-16,5085.815064707299,19495.202720687143
2015-04-17,5165.103940994495,19547.468679723836
2015-04-20,5108.469029360784,19495.202720687143
2015-04-21,5108.469029360784,19181.606966466974
2015-04-22,5108.469029360784,19338.404843577056
2015-04-23,5040.507135400329,19338.404843577056
2015-04-24,5040.507135400329,19442.936761650446
2015-04-27,4983.872223766618,18920.2771712835
2015-05-04,4904.583347479422,18606.68141706333
2015-05-05,5006.526188420103,19442.936761650446
2015-05-06,4927.2373121329065,19390.670802613753
2015-05-07,4961.218259113133,19652.000597797225
2015-05-08,4903.26010188051,20226.92614720087
2015-05-11,4816.322866031564,20331.45806527426
2015-05-12,4677.223288673253,20174.660188164173
2015-05-13,4572.898605654518,19913.3303929807
2015-05-14,4659.835841503464,20017.86231105409
2015-05-15,4538.12371131494,20070.128270090783
2015-05-18,4312.086898107683,20174.660188164173
2015-05-19,4346.861792447261,20435.98998334765
2015-05-20,4642.4483943336745,20697.31977853112
2015-05-21,4642.4483943336745,20906.3836146779
2015-05-22,4677.223288673253,22056.234713485184
2015-05-25,4642.4483943336745,21951.702795411795
2015-05-26,4729.38563018262,22474.362385778742
2015-05-27,4659.835841503464,22422.096426742046
2015-05-28,4659.835841503464,22526.628344815435
2015-05-29,4625.060947163885,22631.160262888825
2015-06-01,4590.286052824307,23885.5432797695
2015-06-02,4572.898605654518,23990.07519784289
2015-06-03,4451.186475465995,23258.351771329162
2015-06-04,4468.573922635784,23258.351771329162
2015-06-05,4399.024133956627,23571.94752554933
2015-06-08,4520.736264145151,23676.47944362272
2015-06-09,4694.610735843042,23101.55389421908
2015-06-10,4920.647549050299,22631.160262888825
2015-06-11,5007.584784899244,22840.224099035604
2015-06-12,4972.809890559666,22787.95813999891
2015-06-15,4990.197337729455,23676.47944362272
2015-06-16,5024.972232069033,23258.351771329162
2015-06-17,4938.034996220088,23206.08581229247
2015-06-18,4920.647549050299,23467.41560747594
2015-06-19,4781.547971691986,24303.670952063057
2015-06-22,4833.7103132013535,24878.5965014667
2015-06-23,4903.26010188051,24878.5965014667
2015-06-24,4851.097760371143,24512.734788209837
2015-06-25,4764.160524522198,24512.734788209837
2015-06-26,4746.773077352409,23871.878976753425
2015-06-29,4868.485207540932,25100.185948711656
2015-06-30,5024.972232069033,26061.469665896355
2015-07-01,4903.26010188051,25901.25571303224
2015-07-02,4972.809890559666,27503.39524167341
2015-07-03,4990.197337729455,29105.534770314578
